duplicate,#,question,choices,answer,explanation,source
,11,Cloud Kicks は、大規模なサービス エージェント向けに Service Console を起動する準備をしています。パイロット グループのユーザーからのフィードバックでは、タブの変更、レコードの保存、検索など、コンソールをすばやく操作する方法が必要であることが明らかになりました。生産性を向上させるために推奨される機能は何ですか?,A. キーボード ショートカット | B. クイックテキスト | C. カスタム マクロ,A,大規模なサービスエージェント向けにService Consoleを設定するには、アクションと推奨事項コンポーネント（Actions & Recommendations）を活用してフローを起動し、エージェントを業務プロセスに沿ってガイドするのが最も効果的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=3
,12,Cloud Kicksは、レポート構築のためにService Cloudコンサルタントを雇用しました。コンサルタントは、追跡用に項目履歴が設定されているケースとソリューションの標準項目とカスタム項目の履歴を追跡するためのケース履歴レポートを作成しました。このレポートタイプを扱う際にコンサルタントはどのような点に留意すべきでしょうか?,A. データ型と新しい値のフィールドは表示のみ可能です。 | B. ユーザーおよび新しい値フィールドは表示のみ可能です。 | C. 古い値と新しい値のフィールドは表示のみ可能です。,C,ケースの分類理由を分析するには、ケース理由（Case Reason）フィールドでグループ化したレポートが最適です。ケースがクローズされた理由をケース理由フィールドで追跡し、頻度の高い問題を特定してナレッジ記事やプロセス改善に役立てます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=3
,13,Universal Containers (UC)は、エージェントがオンボーディング エクスペリエンスのステップに関連する 10 個のオープン アクティビティを作成することを要求する新しいパートナー オンボーディング プロセスを作成しました。UC は通常、毎週 20 人の新しいパートナーを追加します。アクティビティの作成には多大な労力がかかり、完了するまでに最大 20 分かかる場合があります。エージェントがこれらのアクティビティを作成するための費用対効果の高い方法は何ですか?,A. マクロを実行します。 | B. 画面フローをナビゲートします。 | C. Einstein ケースのまとめを利用します。,A,新入エージェントのオンボーディングには、In-App Guidance（アプリ内ガイダンス）をサービスコンソール内で表示し、実際の業務画面上でステップバイステップの手順を案内するのが最も効果的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=3
,14,Cloud Kicks は、電子メール、ソーシャル、チャット チャネルで顧客にサポートを提供します。管理者は、サービス エージェントの効率を向上させる方法を見つけたいと考えています。最近の調査によると、エージェントは記事の検索、記事からテキストを手動でコピーして応答に貼り付けることに多くの時間を費やしています。コンサルタントは解決策として何を推奨すべきでしょうか?,A. ユーティリティ バーにクイック テキスト オプションを設定して、記事リンクを追加します。 | B. Lightning Knowledge コンポーネントと関連リストのアクションを設定します。 | C. 記事 PDF を自動添付するように Lightning Knowledge コンポーネントを設定します。,B,メール・ソーシャル・チャットの複数チャネルからのケースを効率的に管理するには、オムニチャネル（Omni-Channel）が最適です。すべてのチャネルの作業をエージェントのキャパシティと専門分野に基づいて自動割り当てし、複数チャネルを一元管理できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=3
,15,ユニバーサルコンテナーズは、サービスマネージャーがサービスチームの現状を把握するために、リアルタイムのダッシュボードを表示できるようにしたいと考えています。マネージャーは、オンラインのサービス担当者、現在のプレゼンスステータス、ログイン時間、そして主要作業と中断可能な作業の両方における稼働率を確認できる必要があります。この目的のために、Service Cloud コンサルタントはどの Omni Supervisor 要素を推奨する必要がありますか?,A. サービス担当者タブと全エージェントサブタブ | B. 実行可能なアイテムを含むウォールボードタブ | C. 割り当てられた作業タブと作業概要ビュー,A,サービスマネージャーがチームの現状をリアルタイムで把握するには、Omni Supervisor（オムニスーパーバイザー）が最適です。エージェントのプレゼンスステータス・割り当て済み作業・キューバックログをリアルタイムで監視できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=3
,16,Universal Containers（UC）は、スキルベースルーティングを活用し、関連製品の専門分野に基づいてサービス担当者にケースを割り当てています。また、UCは、ケースのワークロードを均等に分散するために、サービス担当者を次のケースに自動的に割り当てることも検討しています。,A. 最もアクティブでない | B. 手動プッシュ | C. 最も利用可能な,C,スキルベースルーティングは製品専門分野などのスキルに基づいてケースを適切なエージェントに自動割り当てします。設定にはスキルの定義・サービスリソースへのスキル割り当て・ルーティング設定の有効化・スキルマッピングルールの作成が必要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=4
,17,Universal Containers は、ワークフローをより効率化し、顧客サポートを向上させるために Service Cloud を導入しています。Service Cloud を設定する際、サービス エージェントが適切な顧客情報にアクセスできるようにするために重要なのはどの側面ですか?,A. 使いやすさを向上させるためのユーザー インターフェイスの最適化 | B. オブジェクトを調整して特定の顧客データを公開する | C. 顧客サービスのユーザー プロファイルの強化,A,エージェントのワークフロー効率向上には、Einstein記事推薦（Einstein Article Recommendations）が有効です。ケースの内容に基づいて関連するナレッジ記事を自動的に推薦し、エージェントの検索時間と解決時間を短縮します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=4
,18,Cloud Kicksのサポート担当者は、3種類の異なる顧客の問題に対応しています。サポート担当者の離職率が高いため、現場には経験の浅い担当者が多くいます。経営陣は、すべての担当者がユーザーフレンドリーなインターフェースで特定の問題に関連する情報を収集し、Einstein Next Best Actionが表示されるようにしたいと考えています。ベストプラクティスに従って、管理者はこれらの要件を満たすために Service Cloud をどのように構成する必要がありますか?,A. アクションと推奨事項コンポーネントを使用してフローを起動します。 | B. レコードタイプごとに Lightning レコード ページを作成します。 | C. ページレイアウト、レコードタイプ、サポートプロセスを定義します。,A,3種類の異なる顧客問題に対応する経験の浅いエージェント向けには、アクションと推奨事項コンポーネント（Actions & Recommendations）を使ってフローを起動し、問題の種類に応じたステップバイステップガイドを提供するのが最も効果的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=4
,19,Cloud Kicks のマネージャーは、多くの場合、リスト ビューを使用して、一度に最大 75 件のケースの [ケース タイプ] フィールドを更新する必要があります。コンサルタントはどの Service Console 生産性ツールを推奨する必要がありますか?,A. それぞれのケースでマクロを実行します。 | B. 一括クイック アクションを使用します。 | C. キーボード ショートカットを使用します。,B,リストビューで最大75件のケースの「ケースタイプ」フィールドを一度に更新するには、一括クイックアクション（Mass Quick Action）を使用します。複数レコードを選択して一括更新でき、個別のマクロ実行やキーボードショートカットより効率的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=4
,20,標準のケース管理機能を使用して顧客のメールに添付できる Salesforce リソースはどれですか?,A. Einstein によって提案されたナレッジ記事 | B. ケースの権利付与に向けた今後のマイルストーン | C. ケースに関する内部 Chatter 投稿,A,標準のケース管理機能で顧客へのメールに添付できるSalesforceリソースはナレッジ記事です。ケース対応のメール送信時に関連ナレッジ記事をPDFまたはリンクとして添付して顧客に提供できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=4
,21,Universal Containers (UC) は、UC のサポート サービスを調整する必要があるかどうかを判断するために、サービス契約を結んでいる特定の資格を持つ顧客の数を報告したいと考えています。コンサルタントはどの機能を推奨する必要がありますか?,A. 結合レポートを作成します。 | B. ダッシュボードを構築します。 | C. カスタム レポート タイプを作成します。,C,UCのサービスを調整するパートナーには、Experience Cloud（パートナーポータル）を通じてケース情報へのアクセスを提供します。パートナーはポータルでケースの確認・更新・コラボレーションができます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=5
,22,Cloud Kicks は、カスタマー サービス チーム向けに堅牢な Service Cloud を実装しています。ソフトウェア エンジニアリング チームは、Salesforce 内でプロジェクトを追跡したいと考えています。コンサルタントはどのソリューションを推奨すべきですか?,A. 新しいケース レコード タイプを作成します。 | B. フィード追跡を有効にします。 | C. AppExchange アプリをインストールします。,C,堅牢なService Cloud実装には、エンタイトルメント（Entitlements）とマイルストーン（Milestones）でSLAを管理し、顧客ごとのサービスレベルと各対応段階の期限を確実に遵守する仕組みが必要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=5
,23,Universal Containers のサポート エージェントは、さまざまな方法で顧客の連絡先情報を入力しています。経営陣は、顧客の連絡先情報が重複して入力される可能性が高いことを懸念しています。重複レコードの作成を防ぐためにコンサルタントは何を推奨すべきですか?,A. 重複管理を構成してアクティブ化します。 | B. 「すべてのデータの表示」を許可し、検索するように指示します。 | C. Contact の Apex トリガを実装します。,A,エージェントが顧客連絡先情報を素早く確認するには、ケースページに連絡先詳細コンポーネントを追加し、関連する連絡先・取引先情報を直接表示します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=5
,24,Cloud Kicks は、顧客とのエージェントのメッセージング セッションにかかる時間を削減し、品質を向上させるために、Service Cloud の実装を計画しています。経営陣および顧客サービスチームとの協議の後、コンサルタントは、標準の Einstein for Service 機能を設定することで最小限の労力で最大のメリットが得られるのは、標準応答を自動化することであると判断しました。この要件を最も効果的に満たす機能はどれですか?,A. Einstein 返信の推奨事項 | B. Einstein 記事の推奨事項 | C. Einstein ケースのまとめ,A,エージェントがメッセージングセッションの時間を削減するには、クイックテキスト（Quick Text）機能を活用して定型文を素早く入力します。よく使う返答文を保存しておき、数文字入力するだけで展開できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=5
,25,Universal Containers は、顧客アカウントを共有し、ケースのステータスを送信および追跡し、レポートやダッシュボードを表示できる安全なポータルを再販業者に提供したいと考えています。コンサルタントはどのソリューションを推奨すべきでしょうか?,A. 従業員コミュニティ | B. パートナー エクスペリエンス サイト | C. カスタマー エクスペリエンス サイト,B,顧客がアカウント情報を共有しケースのステータスを確認・送信できるようにするには、Experience Cloud（コミュニティ）のカスタマーポータルが最適です。顧客は自分のケース情報を管理できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=5
,26,Universal Containers (UC) は、関連する製品の専門分野に基づいてエージェントにケースを割り当てることで、ケース管理を改善したいと考えています。UC はまた、ケースの作業負荷を均等に分散するために、エージェントを次のケースに自動的に割り当てたいと考えています。要件を満たすオムニチャネル機能はどれですか?,A. 最も利用可能なルーティング モデルを使用します。 | B. クローズされたほとんどのケースのレポートを使用します。 | C. エージェントのプレゼンス ステータスを使用します。,A,製品専門知識に基づくエージェントへのケースルーティングには、スキルベースルーティング（Skills-Based Routing）が最適です。エージェントのスキルプロファイルと受信ケースの製品要件を照合して自動的に割り当てます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=6
,27,Universal Containers (UC) の顧客サポート チームは、最近、ケース解決時間が大幅に増加していることに気づきました。UC は、Einstein for Service を使用して、エージェントが関連情報をより迅速に見つけられるようにしたいと考えています。コンサルタントはどの機能を推奨する必要がありますか?,A. Einstein ボット 27: B が正解です | B. Einstein 記事の推奨事項 | C. Einstein 返信の推奨事項,B,ケース解決時間が増加した原因分析には、ナレッジ記事の利用状況や品質を分析するレポートが有効です。記事のビュー数・添付数・エージェントの利用パターンを確認し、ナレッジベースの改善点を特定します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=6
,28,Universal Containers (UC) は、アジャイル手法を使用して Service Cloud を実装したいと考えています。コンサルタントは導入を成功させるためにどのように推奨すべきでしょうか?,A. プロジェクト チームから継続的にフィードバックを生成し、それに応じて要件と成果物を調整します。 | B. UC 幹部とすべての要件を作成し、プロジェクトのスケジュールを作成します。 | C. すべてのプロジェクト要件を一度に完了し、完全なソリューションを提供します。,A,アジャイル手法でのService Cloud実装では、スコープを細分化してスプリントごとに最小限の機能セットを本番展開し、迅速なフィードバックサイクルで継続的に改善するアプローチが推奨されます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=6
,29,Universal Containersは、サンドボックス環境内で重要なオブジェクトと項目へのアクセスを制御する複数の権限セットを開発・テストしました。Service Cloudコンサルタントは、Salesforce導入のベストプラクティスを遵守し、変更のトレーサビリティを維持しながら、これらの権限セットを本番環境に移行したいと考えています。,A. Workbench 経由で Salesforce メタデータ API を使用して、権限セットを展開します。 | B. 送信変更セットを使用して、サンドボックスから本番環境への権限セットを展開します。 | C. 正確性を確保するために、本番環境で権限セットを直接手動で再作成します。,B,サンドボックスで開発・テストした権限セットを本番環境に展開するには、送信変更セット（Outbound Change Set）を使用するのが標準的な方法です。手動再作成はミスが生じやすく、Workbench/Metadata APIは上級者向けの手法です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=6
,30,ユニバーサルコンテナーズは最近、顧客がオンラインでケースを作成・更新できるように、Experience Cloudサイトを実装しました。顧客は、サポートチームが代理で作成したケースを含め、自分が連絡先として登録されているケースにのみアクセスできるようになります。,A. Experience Cloud サイトのユーザーロール階層に基づいてレコードアクセスを許可する共有ルール。 | B. Experience Cloud サイトのユーザーに、連絡先レコードに関連付けられたレコードへのアクセス権を付与するための共有セット。 | C. ケース オブジェクトに対する組織全体のデフォルトの公開読み取り/書き込み。,B,Experience CloudでのケースポータルはWeb-to-Caseではなく、顧客が直接Salesforceにログインしてケースを作成・更新できるカスタマーコミュニティポータルの設定が必要です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=6
,31,Cloud Kicks は、ケース管理システムを Salesforce に変更します。過去 5 年間のすべてのアクティブな取引先、取引先責任者、クローズされたケースは、本番稼働のために Salesforce に移行する必要があります。コンサルタントはデータ移行にどのアプローチを使用する必要がありますか?,A. 準備、計画、テスト、検証、実行 | B. 計画、準備、実行、テスト、検証 | C. 計画、準備、テスト、実行、検証,C,過去5年間の大量ケースデータを移行するには、データローダー（Data Loader）を使用して一括インポートを行います。標準インポートウィザードは件数制限があり、大量の履歴データには対応できません。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=7
,32,Universal Containers (UC) は、コンタクト センター ユーザーの生産性を向上させるためのいくつかの新機能をリリースします。ワークフローを中断せずにコンタクト センター ユーザーに新機能を発表するには、UC はどの通信チャネルを使用する必要がありますか?,A. 社内リリースウェビナー | B. アプリ内ガイダンス | C. メール,B,コンタクトセンターユーザーの生産性向上には、マクロ（Macros）機能が有効です。頻繁に繰り返す操作（メール送信・ステータス更新など）をマクロとして保存し、ワンクリックで実行できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=7
,33,Cloud Kicks（CK）は、Salesforce Messagingを通じて顧客をサポートしています。サービスエージェントから、顧客が暴言を吐いた事例が複数報告されています。CKは、暴言を吐く顧客が今後メッセージングセッションを開始できないようにする方法を探しています。,A. IP ブロック ルールを作成します。 | B. オムニフローを生成する。 | C. レコードトリガーフローを作成します。,C,Salesforce Messagingで顧客が暴言を吐いた場合などの問題に対応するには、レコードトリガーフロー（Record-Triggered Flow）を作成し、特定のキーワードや条件を検出して自動的にケースのエスカレーションや通知を行います。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=7
,34,Universal Containers (UC) は最近、メキシコとカナダへの販売を拡大しました。UC は、オムニチャネルが、顧客の希望する言語を話し、問題を解決するための正しい知識を持つエージェントにケースをルーティングすることを望んでいます。要件を満たすためにコンサルタントはどのソリューションを推奨する必要がありますか?,A. オムニチャネル スキルベースのルーティングを構成します。 | B. ケース割り当てルールとオムニチャネル スーパーバイザーを構成します。 | C. オムニチャネルのキューベースのルーティングを構成します。,A,メキシコとカナダへの販売拡大に伴う多言語対応には、翻訳ワークベンチ（Translation Workbench）を使用してSalesforceのUIラベル・カスタムフィールド・ピックリスト値を各国語に翻訳します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=7
,35,Universal Containers は最近チャットを導入し、顧客とのチャット中にエージェントが適切な答えを見つける能力を向上させる方法に関する推奨事項を探しています。この要件を満たすためにコンサルタントは何を推奨すべきでしょうか?,A. Einstein 返信の推奨事項 | B. Einstein 記事の推奨事項 | C. アクションと推奨事項コンポーネント,B,チャット中にエージェントが顧客情報を事前に確認するには、チャット前フォーム（Pre-Chat Form）で顧客情報を収集し、チャット開始時にスクリーンポップで自動表示します。エージェントは顧客が誰かを事前に把握した状態で対話を開始できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=7
,36,ユニバーサルコンテナーズ（UC）はナレッジセンターサポート（KCS）を導入しました。特定の記事タイプとカテゴリには承認が必要です。ページレイアウトには「記事を公開」ボタンと「承認申請」ボタンの両方が用意されています。しかし、エージェントが特定の記事タイプの承認申請を忘れてしまうケースがあります。UCは承認プロセスの自動化を考えています。要件を満たすためにコンサルタントは何を推奨すべきでしょうか?,A. レコードトリガーフローを使用して、記事の承認がいつ必要になるかを決定します。 | B. レコードトリガーフローを使用して、すべての記事を承認のために送信します。 | C. スケジュールされたアクションを使用して、記事の承認がいつ必要かを決定します。,B,KCSで特定の記事タイプとカテゴリに承認が必要な場合、レコードトリガーフローを使用してすべての記事を承認のために自動送信するのが効率的です。ページレイアウトに「承認申請」ボタンが表示されている場合でも、フローで自動化することでヒューマンエラーを防げます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=8
,37,サービスエージェントからは、Lightning サービスコンソールが混雑しすぎて、必要な情報を見つけるのが困難になっているとの報告がありました。コンサルタントは、エージェントのコンソールの使用状況を確認した結果、設定されているすべての機能が必要であると判断しました。このシナリオを考慮すると、コンサルタントはコンソール ユーザーの効率を向上させるためにどのソリューションを提案すべきでしょうか?,A. キーボード ショートカットをトレーニングします。 | B. マクロを準備します。 | C. 複数のコンソール レイアウトを作成します。,C,Lightningサービスコンソールが混雑している場合、コンソールレイアウトを最適化し不要なコンポーネントを削除してパーソナライズされたレイアウトを設定するのが最も効果的です。エージェントが必要な情報に素早くアクセスできるよう整理します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=8
,38,顧客が送信したケースは、Universal Containers のサービス デスク エージェントに転送されます。エージェントがケースに応答した後、顧客がサポートを受ける資格がないことに気づきました。今後このシナリオが起こらないようにするために、コンサルタントはどのソリューションを推奨する必要がありますか?,A. ケースのエンタイトルメント関連リストをケース Lightning レコード ページに追加します。 | B. 関連する連絡先の資格関連リストをケース Lightning レコード ページに追加します。 | C. 関連するアカウントの資格関連リストをケース Lightning レコード ページに追加します。,B,エージェントがケース対応後に顧客がサポートを受ける資格がないことを確認できるようにするには、関連する連絡先のエンタイトルメント関連リストをケースLightningレコードページに追加します。これにより、ケース画面から直接連絡先のエンタイトルメント（資格）を確認できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=8
,39,Universal Containers (UC) は顧客とのサービス レベル アグリーメント (SLA) を結んでおり、エージェントがケースの作成後 2 時間以内に受信ケースの所有権を取得し、対応することを義務付けています。UC が SLA を満たすのに役立つベスト プラクティスはどれですか?,A. ケースをキューに割り当て、エスカレーション ルールを使用して、エージェントに割り当てられていないケースを 1 時間以内にエスカレーションします。 | B. 1 時間以内にケースがどのエージェントにも割り当てられていない場合は、Flow Builder を使用してキューのすべてのメンバーにタスクを割り当てます。 | C. ケース自動応答ルールを使用して、ケース作成後 1 時間以内にサポート マネージャーに電子メールを送信します。,A,顧客とのSLAを定義・追跡するには、エンタイトルメント（Entitlements）とマイルストーン（Milestones）を設定します。エンタイトルメントは顧客ごとのサービスレベルを定義し、マイルストーンはSLA達成の各段階の期限を追跡します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=8
